	lx	ly
0	10000000	10000000
1	9999534	9999484
2	9999068	9998968
3	9998602	9998452
4	9998136	9997936
5	9997670	9997420
6	9997204	9996904
7	9996738	9996389
8	9996273	9995873
9	9995807	9995357
10	9995341	9994841
11	9994875	9994325
12	9994409	9993743
13	9993944	9993098
14	9993339	9992383
15	9992601	9991589
16	9991683	9990711
17	9990561	9989753
18	9989222	9988736
19	9987671	9987696
20	9985916	9986651
21	9984000	9985607
22	9981969	9984562
23	9979854	9983518
24	9977685	9982447
25	9975491	9981302
26	9973292	9980040
27	9971094	9978632
28	9968896	9977079
29	9966643	9975388
30	9964256	9973557
31	9961690	9971588
32	9958891	9969464
33	9955806	9967132
34	9952411	9964527
35	9948704	9961586
36	9944685	9958258
37	9940347	9954501
38	9935616	9950257
39	9930425	9945471
40	9924708	9940081
41	9918379	9934004
42	9911329	9927158
43	9903474	9919453
44	9894735	9910799
45	9885011	9901141
46	9874152	9890397
47	9862084	9878453
48	9848458	9865403
49	9832830	9850840
50	9814990	9834676
51	9794914	9816694
52	9772743	9796825
53	9748227	9774812
54	9720653	9751655
55	9689693	9727797
56	9654851	9701532
57	9615060	9672751
58	9569409	9640833
59	9516994	9604947
60	9458293	9564904
61	9393135	9519863
62	9319991	9469169
63	9237760	9411635
64	9145706	9349189
65	9043311	9276788
66	8928678	9195515
67	8801698	9105972
68	8663329	9006180
69	8511806	8898954
70	8345091	8784412
71	8161046	8661049
72	7958706	8532025
73	7734264	8393386
74	7486936	8241888
75	7215027	8076329
76	6916528	7894115
77	6592291	7691482
78	6244190	7472042
79	5874882	7233609
80	5486791	6973448
81	5079576	6693190
82	4656264	6378591
83	4228567	6036409
84	3798482	5665209
85	3370839	5263002
86	2953123	4832588
87	2549688	4381305
88	2163982	3913860
89	1802328	3430465
90	1475161	2955562
91	1188434	2486819
92	936721	2048392
93	720501	1649445
94	541744	1295316
95	394323	987784
96	281611	734233
97	195391	531627
98	131512	372308
99	86070	252669
100	55254	163960
101	34922	105242
102	21375	65957
103	12342	39607
104	6487	22254
105	2953	11333
106	1077	5001
107	279	1791
108	42	472
109	2	78
110	0	6
111	0	0
112	0	0
113	0	0
114	0	0
115	0	0
116	0	0
117	0	0
118	0	0
119	0	0
120	0	0
